listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
27245589,0.2465753424657534,90,275,365,1.0,30.0,2
27298825,0.9315068493150684,340,25,365,1.2876712328767124,1125.0,26
27299105,0.9616438356164384,351,14,365,2.0,1125.0,14
27299346,0.9534246575342465,348,17,365,1.2876712328767124,1125.0,16
27300113,0.9013698630136986,329,36,365,2.0,1125.0,34
27322564,0.2273972602739726,83,282,365,2.0,1125.0,3
27370524,0.4328767123287671,158,207,365,1.2821917808219179,1094.2712328767122,11
27455475,0.43561643835616437,159,206,365,1.295890410958904,1125.0,19
27565940,0.4684931506849315,171,194,365,1.0,1125.0,5
27575018,0.8356164383561644,305,60,365,2.0,365.0,32
27588666,0.08493150684931507,31,334,365,1.0,1125.0,3
27600115,0.9095890410958904,332,33,365,3.0,1125.0,10
27698330,0.0,0,365,365,7.0,1125.0,1
27730398,0.22465753424657534,82,283,365,1.0,1125.0,5
27771202,0.31232876712328766,114,251,365,2.0,1125.0,15
27777659,0.06301369863013699,23,342,365,2.0,365.0,3
27820119,0.8273972602739726,302,63,365,7.0,365.0,62
27890114,0.043835616438356165,16,349,365,2.0,1125.0,7
27903775,0.0027397260273972603,1,364,365,1.0,1125.0,3
27933771,0.0,0,365,365,2.0,1125.0,1
27951060,0.6301369863013698,230,135,365,1.9726027397260273,30.0,22
28031943,0.7643835616438356,279,86,365,7.0,365.0,2
28096547,0.9972602739726028,364,1,365,1.0,1125.0,2
28233032,0.0027397260273972603,1,364,365,1.0,1125.0,3
28239073,0.0,0,365,365,2.0,1125.0,1
28260530,0.6410958904109589,234,131,365,1.0,1125.0,3
28280683,0.0027397260273972603,1,364,365,1.0,1125.0,3
28395615,0.07945205479452055,29,336,365,3.0,21.0,3
28421680,0.021917808219178082,8,357,365,7.0,31.0,5
28574462,0.9808219178082191,358,7,365,10.0,1125.0,2
28623126,0.7013698630136986,256,109,365,5.0,1125.0,4
